item_id;location_id;qty;cost_amount
0000CD49FA7DFE1158A3BB3DBE8E1489;B0BDDED34CC83E11052F6792C000B249;2.000000;235.600000
0000CD49FA7DFE1158A3BB3DBE8E1489;FC081C55582CED11A62CD892C0003F2A;2.000000;235.600000
0000EB60690F9E117260106505009C4A;B0BDDED34CC83E11052F6792C000B249;6.000000;1995.270000
0000EB60690F9E117260106505009C4A;FC081C55582CED11A62CD892C0003F2A;23.000000;6953.310000
0000EBC0069CEE1191EE1065050029B9;B0BDDED34CC83E11052F6792C000B249;0.000000;0.000000
0000EBC0069CEE1191EE1065050029B9;FC081C55582CED11A62CD892C0003F2A;2.000000;135.240000
0001AA1D4315EE11B1AD10650500B8EA;FC081C55582CED11A62CD892C0003F2A;24.000000;2500.320000
0001B48C9CB04E1142D58A650500DB08;44673735EAF46E11B7B78A650500BC08;3.000000;689.100000
0001B48C9CB04E1142D58A650500DB08;FC081C55582CED11A62CD892C0003F2A;6.000000;1428.070000
000257BC483EFE11F1557891FE690589;B0BDDED34CC83E11052F6792C000B249;6.000000;706.030000
000257BC483EFE11F1557891FE690589;FC081C55582CED11A62CD892C0003F2A;9.000000;1048.390000
0003B9C6A601CE11877210650500F269;B0BDDED34CC83E11052F6792C000B249;1.000000;156.190000
0003B9C6A601CE11877210650500F269;FC081C55582CED11A62CD892C0003F2A;1.000000;156.200000
00049E6271BEEE1191EE1065050029B9;B0BDDED34CC83E11052F6792C000B249;1.000000;523.370000
00049E6271BEEE1191EE1065050029B9;FC081C55582CED11A62CD892C0003F2A;2.000000;1046.740000
0008AB291959FE11128010650500E819;FC081C55582CED11A62CD892C0003F2A;3.000000;1318.800000
0009519CD62CAE11BE2110650500705A;44673735EAF46E11B7B78A650500BC08;1.000000;8984.000000
000A6D8A48CECE11ADB310650500C8B8;FC081C55582CED11A62CD892C0003F2A;1.000000;134.150000
000B61F0B28ADE11406610650500924A;FC081C55582CED11A62CD892C0003F2A;0.000000;0.000000
000D1419D9CC6E11B7B78A650500BC08;44673735EAF46E11B7B78A650500BC08;41.000000;3567.000000
000D1419D9CC6E11B7B78A650500BC08;FC081C55582CED11A62CD892C0003F2A;30.000000;2610.000000
000D3C198EF39E115540106505008D3B;44673735EAF46E11B7B78A650500BC08;54.000000;6063.120000
0010A31CA0900F11F1557891FE690889;B0BDDED34CC83E11052F6792C000B249;4.000000;239.140000
0010A31CA0900F11F1557891FE690889;FC081C55582CED11A62CD892C0003F2A;0.000000;0.000000
001142C8008CBE118772106505003D59;44673735EAF46E11B7B78A650500BC08;8.000000;1872.000000
0011932287D2DE11ADB3106505007EB8;FC081C55582CED11A62CD892C0003F2A;3.000000;188.560000
0012B1A74F4FBE11877210650500C069;B0BDDED34CC83E11052F6792C000B249;4.000000;2108.920000
0012B1A74F4FBE11877210650500C069;FC081C55582CED11A62CD892C0003F2A;7.000000;3690.610000
0016B04B0DFCBE11877210650500DD59;44673735EAF46E11B7B78A650500BC08;12.000000;1660.290000
0016F6E68E657E11B7B78A650500ED08;B0BDDED34CC83E11052F6792C000B249;4.000000;1379.840000
0016F6E68E657E11B7B78A650500ED08;FC081C55582CED11A62CD892C0003F2A;4.000000;1404.240000
0018E9D401CAED11A62CD892C0003F2A;FC081C55582CED11A62CD892C0003F2A;10.000000;842.930000
001AA9AB5443FE1191EE106505001EB9;B0BDDED34CC83E11052F6792C000B249;6.000000;865.860000
001AA9AB5443FE1191EE106505001EB9;FC081C55582CED11A62CD892C0003F2A;3.000000;432.930000
001C3520486FCE11ADB310650500B9B8;B0BDDED34CC83E11052F6792C000B249;9.000000;5900.550000
